sigma_mem_y,f_mem,sigma_mem,E_mem,nu_mem,sigma_edg,sigma_sup,sigma_mem_max
10691.55544396865,0.2687668090706641,3220.8802524547345,620830.965150144,0.3994716843747742,325851.2355782234,322000.7623454893,4204.095288540021
10869.83324336024,0.5111860660731071,4603.9694196273695,559505.773240739,0.39829734604548417,266690.7453626493,366814.40725415014,5578.199691712028
9629.396011569934,0.3162066873567854,4020.4641565546845,664063.6027481301,0.3933330181299387,350103.3302143946,308367.2050402543,4688.809620436739
12188.818171898258,0.45732645703281194,4282.802399811432,622714.4040904439,0.41122971811240494,313489.8978157814,327438.7028277462,5219.281259797724
11108.292227160924,0.2618613460899218,4097.033516092367,623600.5452248263,0.38245904488879356,334400.59071248624,474471.12787125993,4986.75651531559
12556.884918327296,0.39469185074266455,4272.395600013492,739908.9811293011,0.40460295690629616,361245.86024888436,342636.58655423316,5170.713979444827
10140.408398728627,0.6343179986205048,3640.363853024218,587362.5713360638,0.39705997853930514,311180.2056207491,339850.3649993572,5551.214337673517
8948.70008628865,0.4462370078741936,4641.914624357404,603036.3462340003,0.4118824804388217,333123.0890195857,358528.94959090365,5491.728951082467
9966.30817085145,0.32298928599275983,4161.244529743672,576722.0688881959,0.40240920128818314,437041.2619413255,314583.2616864566,5066.205629248495
11548.087052192537,0.3997984260018148,2702.9053267231957,608924.5682371672,0.41344532931467526,342469.887359855,329954.7568749755,4592.745506844547
10950.006352023905,0.32802790495531403,4938.7304084870375,565672.279021501,0.41640122285093967,390030.2698038117,363321.83949762554,5427.622155787025
11836.076586428388,0.23500404832528365,3704.0107327704086,493867.9414524694,0.39784120852134913,335895.0205565382,377413.29923724395,4449.506982295904
10337.3250042523,0.4876955207508628,5462.582752402163,659487.9235195821,0.399855230991817,316065.48019999475,413137.70363231556,6196.855922092375
11202.507163004351,0.4691736208663646,3549.2416044150473,695237.0492524317,0.3944371768144589,344745.93096395966,293581.74838738353,4959.841144460082
14087.247729159404,0.3119632660387142,4072.3775414968113,723485.3339962651,0.40268038041331344,356538.91129177966,419461.14666102274,5056.938133352644
10648.10237471837,0.252433010604855,3495.5194456847407,583019.9464316401,0.41656646989399554,347936.49695335026,454672.06844182516,4743.691281216482
10053.29696481166,0.5591155055712664,4961.864505862338,647471.1285043177,0.39911030424236804,380896.2547978573,398876.4373761237,6219.805037796951
11583.928748758915,0.4621972292392615,2933.4084986647035,601011.5336862815,0.413023682657263,310058.15019251447,425302.1475382538,4989.843288059071
9904.146130196676,0.3535466597903381,4060.8446313804534,563039.2004973274,0.38459841252164206,335304.60736618313,559153.2528353768,5482.7785122510595
12416.194745034898,0.4241705303983776,4497.1683966049395,530027.4815222778,0.39274179087013117,341833.77198558446,335393.95262069535,5325.213957758471
10277.324584145508,0.4984122043930612,3939.913095153358,492626.6058085763,0.3865645843797192,380755.48553978564,427753.3246653861,5638.867704041087
10231.670669783207,0.4409582227074055,3506.5870441404386,618604.0711496146,0.41762777598527756,407854.64288650104,367866.9905727264,5313.367217950927
11768.759030931476,0.22140235527023508,4547.874277295819,649337.0173499607,0.3916110263495709,332993.35646226467,378846.3205576202,4843.730050449143
8627.94492781233,0.32362823080362796,3881.4663256604254,636903.0308354927,0.40904058863026743,309129.00549079827,446426.3753800835,4933.597717348002
9868.507175146724,0.32500181394344496,4306.7221431385815,641535.443126843,0.41939178206429406,350997.9969264952,361505.43795938,4998.389128779509
9940.667532211717,0.2851293184919699,4332.7260917089325,572784.4308174156,0.38179913505158763,377725.3217053641,366406.63484506693,4975.657666590593
12453.228289826437,0.24714335540831991,3599.0655412418614,666944.1051713119,0.4010467746195401,373428.77779559215,370486.9616772003,4610.579002497357
10436.779685890473,0.39240211401654734,3822.435285552887,536244.3575789217,0.38412651400847325,331356.7604722768,275640.9554448838,4707.939784318256
11623.996761286931,0.32874187717830106,3033.1051884635976,615241.1661368692,0.4105815825149269,398469.493067331,448854.6012716029,5099.951612239372
10559.463772263043,0.38264957156029095,4477.374738042708,669945.5047391995,0.4048265633112945,314145.09934213955,302677.47360269254,5032.424509871382
12405.247304129634,0.35692213895869057,5007.95023574238,595716.1791644451,0.4043768986011655,324288.30399272096,477741.24865949975,5727.12415691436
9678.156453222382,0.2809940044632751,3357.699462478278,642371.4864830105,0.4041192704401562,359405.0078902343,433708.602409277,4800.086920351313
9502.868052290894,0.348282554485133,3790.8393092124775,625452.3291133344,0.38897663319530473,365533.357173912,547461.5579360893,5487.864136037977
11014.787908586948,0.31820047607822544,3546.5404289417065,596413.504165102,0.3826470951729035,385219.27765730146,316749.57971046364,4676.715538696083
11849.78334829231,0.4501404151874746,2881.0687889924097,628848.3294192203,0.40674922906531324,415768.31290925335,392772.6277703107,5338.2270556897
10651.518298821124,0.46304508925788124,4483.532877531327,653205.1755461415,0.384336141256374,339725.7553779579,341869.953597114,5443.72527730394
10931.892408525879,0.19849994868532622,4035.2813522565743,605663.8345464324,0.4141496577435642,320766.6764463479,332993.3471464072,4334.733445761118
10170.914976941713,0.38093205683914966,4539.452414112988,699019.1128534845,0.4080087463459459,402537.9022440359,443046.7488122039,5667.600607371793
12241.800080961828,0.5985319409657963,4434.888764978355,671796.2221693113,0.39403756185996486,375086.5547891985,404369.74770495604,6119.635642178085
13198.753892068953,0.41303900674777455,3518.010653056774,527300.813947693,0.408243075596506,331070.16400798335,364505.2782075962,4893.3401015540585
10201.585152385125,0.6555778464031714,2794.8925704458306,624183.9294361323,0.39197442996603304,343174.86843093607,392666.2528777277,5621.399574770728
10045.660500448668,0.31749326315899246,4219.114815758003,510030.65902824287,0.402255478400285,424681.06539774657,430402.8112597841,5358.709788213751
10817.175308801052,0.29831064142611075,4635.412887561199,710033.9593103738,0.4054425670904468,322336.5960310656,446927.8583003824,5269.570002679677
9018.5995814911,0.3864826811791868,3620.0298783802764,611147.4479349232,0.41629345738541756,317305.8996124947,362178.84073851985,4811.997963936285
10572.992897562315,0.3905245116201247,3769.6845578591124,628150.0736370262,0.40794376610557626,502578.26977455174,513002.29513041506,6128.913679873943
9800.960950213397,0.4774456510315733,3860.5868654243513,640539.1004126945,0.38488756603636826,414169.83751100715,374011.00384475465,5559.0053386684895
12064.7389883691,0.33911318093174,4337.378745836082,557536.6222775771,0.4195318915797921,320072.2748450354,424126.94964213396,5150.36281276692
9743.29374139953,0.47996712124637264,4001.5940284733197,679354.1072989171,0.39624756080237544,291035.20605344226,357319.7765038195,5187.636944790544
14453.390386898045,0.2546657979437915,4043.112752580085,613011.4434213387,0.4102329662399009,311469.5577422574,403841.7778933448,4677.298127560205
11956.997887585505,0.3637864601213842,3945.6980794589876,564858.9871740728,0.4150498430267875,378904.64101411944,285595.67277842155,4839.272799583502
